file,accuracy
1705015_prediction.csv,0.9721305463879721
1705009_prediction.csv,0.9600293362669601
1705010_prediction.csv,0.9105243857719105
1705004_prediction.csv,0.9075907590759076
1705016_prediction.csv,0.9061239457279061
1705027_prediction.csv,0.8998899889988999
1705008_prediction.csv,0.8456178951228456
1705007_prediction.csv,0.8181151448478181
1705001_prediction.csv,0.7777777777777778
1705021_prediction.csv,0.7748441510817748
1705019_prediction.csv,0.6171617161716172
1705030_prediction.csv,0.6142280894756142
1705026_prediction.csv,0.601026769343601
1705013_prediction.csv,0.5676567656765676
1705014_prediction.csv,0.4811147781444811
1705017_prediction.csv,0.44774477447744776
1705005_prediction.csv,0.4393105977264393
1705002_prediction.csv,0.2984965163182985
1705025_prediction.csv,0.26512651265126513
1705024_prediction.csv,0.17895122845617895
1705028_predicted.csv,0.003667033370003667
